sample,n_cells
INCOV122-AC_C0005,15
INCOV122-AC_C001,30
INCOV122-AC_C01,306
INCOV122-BL_C0005,10
INCOV122-BL_C001,21
INCOV122-BL_C01,219
INCOV123-AC_C0005,11
INCOV123-AC_C001,22
INCOV123-AC_C01,229
INCOV123-BL_C0005,13
INCOV123-BL_C001,27
INCOV123-BL_C01,277
INCOV124-AC_C0005,9
INCOV124-AC_C001,18
INCOV124-AC_C01,182
INCOV124-BL_C0005,4
INCOV124-BL_C001,9
INCOV124-BL_C01,90
INCOV125-AC_C0005,9
INCOV125-AC_C001,19
INCOV125-AC_C01,196
INCOV125-BL_C0005,11
INCOV125-BL_C001,23
INCOV125-BL_C01,236
INCOV126-AC_C0005,13
INCOV126-AC_C001,27
INCOV126-AC_C01,271
INCOV126-BL_C0005,12
INCOV126-BL_C001,25
INCOV126-BL_C01,252
INCOV127-AC_C0005,6
INCOV127-AC_C001,12
INCOV127-AC_C01,127
INCOV127-BL_C0005,3
INCOV127-BL_C001,6
INCOV127-BL_C01,66
INCOV128-AC_C0005,9
INCOV128-AC_C001,18
INCOV128-AC_C01,186
INCOV128-BL_C0005,4
INCOV128-BL_C001,8
INCOV128-BL_C01,83
INCOV129-AC_C0005,7
INCOV129-AC_C001,15
INCOV129-AC_C01,159
INCOV129-BL_C0005,3
INCOV129-BL_C001,6
INCOV129-BL_C01,67
INCOV130-AC_C0005,8
INCOV130-AC_C001,17
INCOV130-AC_C01,175
INCOV130-BL_C0005,3
INCOV130-BL_C001,6
INCOV130-BL_C01,64
INCOV131-AC_C0005,11
INCOV131-AC_C001,22
INCOV131-AC_C01,226
INCOV131-BL_C0005,5
INCOV131-BL_C001,10
INCOV131-BL_C01,100
INCOV132-AC_C0005,7
INCOV132-AC_C001,15
INCOV132-AC_C01,153
INCOV132-BL_C0005,1
INCOV132-BL_C001,3
INCOV132-BL_C01,35
INCOV133-AC_C0005,8
INCOV133-AC_C001,16
INCOV133-AC_C01,165
INCOV133-BL_C0005,2
INCOV133-BL_C001,5
INCOV133-BL_C01,51
INCOV134-AC_C0005,4
INCOV134-AC_C001,8
INCOV134-AC_C01,88
INCOV134-BL_C0005,2
INCOV134-BL_C001,5
INCOV134-BL_C01,59
INCOV135-AC_C0005,6
INCOV135-AC_C001,13
INCOV135-AC_C01,138
INCOV135-BL_C0005,3
INCOV135-BL_C001,6
INCOV135-BL_C01,64
INCOV136-AC_C0005,4
INCOV136-AC_C001,8
INCOV136-AC_C01,81
INCOV136-BL_C0005,3
INCOV136-BL_C001,7
INCOV136-BL_C01,73
INCOV137-AC_C0005,6
INCOV137-AC_C001,13
INCOV137-AC_C01,136
INCOV137-BL_C0005,4
INCOV137-BL_C001,9
INCOV137-BL_C01,91
INCOV141-AC_C0005,23
INCOV141-AC_C001,47
INCOV141-AC_C01,478
INCOV141-BL_C0005,9
INCOV141-BL_C001,18
INCOV141-BL_C01,189
INCOV142-AC_C0005,4
INCOV142-AC_C001,8
INCOV142-AC_C01,85
INCOV142-BL_C0005,4
INCOV142-BL_C001,9
INCOV142-BL_C01,98
INCOV144-AC_C0005,10
INCOV144-AC_C001,21
INCOV144-AC_C01,215
INCOV144-BL_C0005,4
INCOV144-BL_C001,8
INCOV144-BL_C01,88
INCOV145-AC_C0005,0
INCOV145-AC_C001,0
INCOV145-AC_C01,3
INCOV145-BL_C0005,7
INCOV145-BL_C001,14
INCOV145-BL_C01,146
INCOV147-AC_C0005,14
INCOV147-AC_C001,29
INCOV147-AC_C01,299
INCOV147-BL_C0005,9
INCOV147-BL_C001,18
INCOV147-BL_C01,185
INCOV001-CV,2828
INCOV002-CV,3737
INCOV003-AC,3002
INCOV003-BL,3760
INCOV003-CV,5529
INCOV005-AC,4494
INCOV005-BL,1850
INCOV005-CV,2627
INCOV006-AC,5617
INCOV006-BL,1329
INCOV006-CV,3413
INCOV007-AC,1928
INCOV007-BL,3145
INCOV007-CV,2747
INCOV008-BL,2631
INCOV009-AC,3224
INCOV009-BL,4117
INCOV009-CV,5015
INCOV010-AC,3026
INCOV010-BL,6202
INCOV010-CV,256
INCOV011-AC,2144
INCOV011-BL,1446
INCOV012-AC,3568
INCOV012-BL,3252
INCOV012-CV,3062
INCOV013-AC,1333
INCOV013-BL,6627
INCOV013-CV,2448
INCOV014-BL,3266
INCOV015-AC,3288
INCOV015-BL,1707
INCOV016-AC,5565
INCOV016-BL,6506
INCOV016-CV,1219
INCOV017-AC,0
INCOV017-BL,0
INCOV017-CV,2079
INCOV018-AC,1009
INCOV018-BL,667
INCOV018-CV,1530
INCOV019-AC,2971
INCOV019-BL,2400
INCOV020-AC,4777
INCOV020-BL,3713
INCOV022-AC,3330
INCOV022-BL,2713
INCOV022-CV,3741
INCOV023-AC,2936
INCOV023-BL,1842
INCOV023-CV,5755
INCOV024-AC,2421
INCOV024-BL,6333
INCOV024-CV,2285
INCOV025-AC,4722
INCOV025-BL,6594
INCOV026-AC,2633
INCOV026-BL,3479
INCOV027-AC,1849
INCOV027-BL,4453
INCOV027-CV,3473
INCOV028-AC,1247
INCOV028-BL,2530
INCOV029-AC,4475
INCOV029-BL,2819
INCOV029-CV,2683
INCOV030-AC,3562
INCOV030-BL,2372
INCOV030-CV,2399
INCOV031-AC,3551
INCOV031-BL,3643
INCOV031-PD1,1422
INCOV032-AC,2736
INCOV032-BL,1449
INCOV033-AC,9153
INCOV033-BL,2454
INCOV034-AC,1334
INCOV034-BL,1602
INCOV035-AC,9280
INCOV035-BL,2160
INCOV036-AC,4681
INCOV036-BL,6335
INCOV036-CV,492
INCOV039-AC,3936
INCOV039-BL,2641
INCOV039-CV,2661
INCOV040-AC,1961
INCOV040-BL,1181
INCOV040-CV,2986
INCOV041-AC,1227
INCOV041-BL,3149
INCOV042-AC,1455
INCOV042-BL,1854
INCOV042-CV,1603
INCOV043-AC,1184
INCOV043-BL,1286
INCOV044-AC,2143
INCOV044-BL,1511
INCOV045-AC,2497
INCOV045-BL,3325
INCOV045-CV,3348
INCOV047-AC,2061
INCOV047-BL,1282
INCOV048-BL,2045
INCOV049-AC,3593
INCOV049-BL,2153
INCOV050-AC,2853
INCOV050-BL,2446
INCOV051-AC,2943
INCOV051-BL,2381
