sample,genotyper,celltype,gene,TE,seTE,lower,upper,n_cells
INCOV003-BL,invitro,CD16 Monocyte,DPA1,4.286632578382504,0.5417445334181725,3.22483280406143,5.348432352703577,38
INCOV003-BL,invitro,cDC,DPA1,6.489878635141915,0.6352982384363434,5.244716968364942,7.735040301918888,25
INCOV003-BL,invitro,NK,DPA1,2.692915976935729,0.638812482374923,1.440866518606252,3.944965435265206,33
INCOV003-BL,invitro,CD14 Monocyte,DPB1,2.851525091488194,0.14996524195480168,2.5575986183239476,3.1454515646524404,585
INCOV003-BL,invitro,pDC,DPB1,4.391389429005832,0.9493873134927217,2.5306244871808605,6.252154370830803,12
INCOV003-BL,invitro,B,DPB1,3.9935340919621756,0.34994245145218084,3.307659490454245,4.679408693470107,92
INCOV003-BL,invitro,cDC,DPB1,5.926150264220312,0.6373505554910559,4.6769661299312455,7.175334398509379,25
INCOV003-BL,invitro,NK,DPB1,2.6776452336872207,0.6487239060429911,1.4061697419328125,3.949120725441629,32
INCOV003-BL,invitro,CD4 T,DPB1,2.4594688203627584,0.35282224280787144,1.7679499315146843,3.1509877092108325,113
INCOV003-BL,invitro,CD16 Monocyte,DPB1,3.7249967627058065,0.5714309268824938,2.605012726363778,4.8449807990478355,36
INCOV003-BL,invitro,CD8 T,DPB1,3.0687080640951874,0.6378328957711388,1.8185785602288655,4.318837567961509,31
INCOV003-BL,invitro,pDC,DQA1,1.656131662223961,1.2060673248897842,-0.7077168574905837,4.0199801819385055,7
INCOV003-BL,invitro,B,DQA1,1.493731448756599,0.2530178527452005,0.9978255699303472,1.9896373275828507,75
INCOV003-BL,invitro,cDC,DQA1,1.0784085401197603,0.2238003225399351,0.6397679682130399,1.5170491120264806,22
INCOV003-BL,invitro,NK,DQA1,2.3978952727983707,1.6877454928053721,-0.9100251081699628,5.705815653766704,5
INCOV003-BL,invitro,CD14 Monocyte,DQA1,2.2974241978136227,0.3880016624415502,1.5369549134865172,3.057893482140728,88
INCOV003-BL,invitro,CD16 Monocyte,DQA1,2.558696737091902,1.2363920649167672,0.1354128190839301,4.981980655099874,9
INCOV003-BL,invitro,CD4 T,DQA1,2.3978952727983702,0.9744203145947592,0.48806655038845337,4.307723995208287,15
INCOV003-BL,invitro,CD8 T,DQA1,2.5025388228526464,1.4105303647602612,-0.26204989117761013,5.267127536882903,7
INCOV003-BL,invitro,CD14 Monocyte,DQB1,2.140702254194682,0.2863955331829712,1.5793773238229125,2.702027184566451,153
INCOV003-BL,invitro,CD4 T,DQB1,2.4468509373771665,0.3646520526825204,1.7321460472308243,3.1615558275235087,106
INCOV003-BL,invitro,B,DQB1,0.958827617011164,0.24795416416597618,0.4728463854291188,1.4448088485932093,68
INCOV003-BL,invitro,cDC,DQB1,0.5448901245009766,0.20891522764287485,0.1354238024989553,0.9543564465029979,25
INCOV003-BL,invitro,NK,DQB1,2.543110520075055,1.6616223177542586,-0.713609378631261,5.7998304187813705,5
INCOV003-BL,invitro,CD16 Monocyte,DQB1,2.479687021072243,1.2470416333826435,0.03553033242026027,4.923843709724226,9
INCOV003-BL,invitro,pDC,DQB1,1.065238412616077,0.8679668844873906,-0.6359454207526454,2.766422245984799,7
INCOV003-BL,invitro,CD8 T,DQB1,2.3978952727983702,1.4264052841433372,-0.39780771148019234,5.193598257076933,7
INCOV003-BL,invitro,CD4 T,DRB1,2.1241753033023865,0.39596131099992005,1.34810539447128,2.900245212133493,83
INCOV003-BL,invitro,CD14 Monocyte,DRB1,1.2497929098601652,0.07693020385586104,1.0990124809793533,1.4005733387409771,990
INCOV003-BL,invitro,pDC,DRB1,1.5613153271075357,0.4014551238852574,0.7744777428833658,2.348152911331706,12
INCOV003-BL,invitro,B,DRB1,1.5873197373894858,0.19641246850391142,1.2023583730072118,1.9722811017717599,88
INCOV003-BL,invitro,CD16 Monocyte,DRB1,1.1176670141660463,0.23101877399379317,0.6648785373856133,1.5704554909464794,35
INCOV003-BL,invitro,cDC,DRB1,1.634692765853851,0.11748089698075044,1.4044344389001198,1.8649510928075823,25
INCOV003-BL,invitro,CD8 T,DRB1,1.392976328062116,0.6750316496986966,0.06993860622801296,2.716014049896219,19
INCOV003-BL,invitro,NK,DRB1,2.4595055645042327,1.0823129126578963,0.3382112356921114,4.580799893316354,12
INCOV003-BL,phlat,CD8 T,A,0.558108877235242,0.1280430196387614,0.3071491702715149,0.8090685841989692,58
INCOV003-BL,phlat,CD4 T,A,0.6438015509487783,0.044400752395556034,0.556777675367008,0.7308254265305487,823
INCOV003-BL,phlat,CD14 Monocyte,A,0.6628520117731393,0.03460987610888919,0.5950179010903233,0.7306861224559554,1758
INCOV003-BL,phlat,pDC,A,0.9360154640309397,0.32632995462017833,0.2964205058988001,1.5756104221630793,12
INCOV003-BL,phlat,B,A,0.6731472542561059,0.15391745054424402,0.37147459459716275,0.9748199139150491,88
INCOV003-BL,phlat,cDC,A,0.5751874794555686,0.1528433638274839,0.27561999107774815,0.874754967833389,25
INCOV003-BL,phlat,NK,A,0.501905172271435,0.11360475936811787,0.27924393543758474,0.7245664091052854,81
INCOV003-BL,phlat,CD16 Monocyte,A,0.6878671347193034,0.19624652737689488,0.3032310089695358,1.072503260469071,32
INCOV003-BL,phlat,CD8 T,B,0.601247409859398,0.10229417623778107,0.4007545086051541,0.8017403111136419,57
INCOV003-BL,phlat,CD14 Monocyte,B,0.6726102758974262,0.028583716254908458,0.6165872214934935,0.7286333303013588,1853
INCOV003-BL,phlat,CD4 T,B,0.6050459242613266,0.03180757059743481,0.5427042314546393,0.667387617068014,853
INCOV003-BL,phlat,pDC,B,0.7697567955747104,0.20210914098279073,0.3736301583021125,1.1658834328473084,12
INCOV003-BL,phlat,B,B,0.541857463375319,0.10323213053672514,0.3395262054760003,0.7441887212746378,91
INCOV003-BL,phlat,CD16 Monocyte,B,0.5012411583308208,0.14427665498372969,0.21846411075279942,0.7840182059088423,38
INCOV003-BL,phlat,cDC,B,0.8174161917207714,0.12284807013991197,0.5766383986762935,1.0581939847652493,25
INCOV003-BL,phlat,NK,B,0.5695152677233681,0.09914258018065898,0.37519938123490204,0.7638311542118342,79
INCOV003-BL,phlat,CD8 T,C,0.9921638003738428,0.10207644754851243,0.7920976395089665,1.192229961238719,59
INCOV003-BL,phlat,CD4 T,C,1.1231058824312425,0.038068801115240664,1.0484924033107526,1.1977193615517325,854
INCOV003-BL,phlat,CD14 Monocyte,C,1.3237775105117613,0.031028383567054393,1.2629629962218403,1.3845920248016823,1876
INCOV003-BL,phlat,pDC,C,1.477839960607744,0.25140791563133874,0.9850895005420356,1.9705904206734521,11
INCOV003-BL,phlat,B,C,1.3474165862663532,0.1357523368981458,1.0813468951288396,1.6134862774038667,90
INCOV003-BL,phlat,CD16 Monocyte,C,1.38700146734277,0.13788599531556642,1.1167498825518012,1.6572530521337387,38
INCOV003-BL,phlat,cDC,C,1.4497432276416722,0.13062206864581768,1.1937286775097509,1.7057577777735935,25
INCOV003-BL,phlat,NK,C,0.8297719452714643,0.09157184238093652,0.6502944322068501,1.0092494583360783,82
INCOV003-BL,phlat,pDC,DQA1,1.656131662223961,1.2060673248897842,-0.7077168574905837,4.0199801819385055,7
INCOV003-BL,phlat,B,DQA1,1.493731448756599,0.2530178527452005,0.9978255699303472,1.9896373275828507,75
INCOV003-BL,phlat,cDC,DQA1,1.0784085401197603,0.2238003225399351,0.6397679682130399,1.5170491120264806,22
INCOV003-BL,phlat,NK,DQA1,2.3978952727983707,1.6877454928053721,-0.9100251081699628,5.705815653766704,5
INCOV003-BL,phlat,CD14 Monocyte,DQA1,2.2974241978136227,0.3880016624415502,1.5369549134865172,3.057893482140728,88
INCOV003-BL,phlat,CD16 Monocyte,DQA1,2.558696737091902,1.2363920649167672,0.1354128190839301,4.981980655099874,9
INCOV003-BL,phlat,CD4 T,DQA1,2.3978952727983702,0.9744203145947592,0.48806655038845337,4.307723995208287,15
INCOV003-BL,phlat,CD8 T,DQA1,2.5025388228526464,1.4105303647602612,-0.26204989117761013,5.267127536882903,7
INCOV003-BL,phlat,CD14 Monocyte,DQB1,1.9925922902225777,0.2410775218962394,1.5200890298237821,2.465095550621373,203
INCOV003-BL,phlat,CD4 T,DQB1,2.4459535669482526,0.36129451051836187,1.737829338520236,3.1540777953762693,108
INCOV003-BL,phlat,B,DQB1,0.982053474799855,0.24310941971862152,0.5055677678489253,1.4585391817507847,70
